date,value
2024-12-27,3.8309
2024-12-30,3.8097
2024-12-31,3.7964
2025-01-02,3.7649
2025-01-03,3.7605
2025-01-06,3.7834
2025-01-07,3.7753
2025-01-08,3.7644
2025-01-09,3.7699
2025-01-10,3.7771
2025-01-13,3.7435
2025-01-14,3.726
2025-01-15,3.7297
2025-01-16,3.7232
2025-01-17,3.7074
2025-01-20,3.6967
2025-01-21,3.7116
2025-01-22,3.6962
2025-01-23,3.7035
2025-01-24,3.7513
2025-01-27,3.8017
2025-01-28,3.7699
2025-01-29,3.7414
2025-01-30,3.7246
2025-01-31,3.7086
2025-02-03,3.7008
2025-02-04,3.6943
2025-02-05,3.7005
2025-02-06,3.6883
2025-02-07,3.6879
2025-02-10,3.6799
2025-02-11,3.7028
2025-02-12,3.7263
2025-02-13,3.7182
2025-02-14,3.7356
2025-02-17,3.7272
2025-02-18,3.7186
2025-02-19,3.6932
2025-02-20,3.6965
2025-02-21,3.7332
2025-02-24,3.7337
2025-02-25,3.7571
2025-02-26,3.7501
2025-02-27,3.7225
2025-02-28,3.7341
2025-03-03,3.7625
2025-03-04,3.7962
2025-03-05,3.8744
2025-03-06,3.9013
2025-03-07,3.9227
2025-03-10,3.9374
2025-03-11,3.9814
2025-03-12,3.9639
2025-03-13,3.9682
2025-03-17,3.9929
2025-03-18,4.0073
2025-03-19,4.0056
2025-03-20,3.9805
2025-03-21,4.0036
2025-03-24,4.0145
2025-03-25,3.9676
2025-03-26,3.9583
2025-03-27,3.9633
2025-03-28,3.974
2025-03-31,4.0219
2025-04-01,3.9956
2025-04-02,3.9924
2025-04-03,4.0924
2025-04-04,4.0888
2025-04-07,4.1278
2025-04-08,4.1191
2025-04-09,4.2095
2025-04-10,4.1579
2025-04-11,4.2231
2025-04-14,4.1986
2025-04-15,4.1838
2025-04-16,4.1985
2025-04-17,4.1982
2025-04-21,4.2598
2025-04-22,4.2772
2025-04-23,4.1822
2025-04-24,4.1521
2025-04-25,4.1046
2025-04-28,4.1201
2025-04-29,4.1235
2025-04-30,4.14
2025-05-02,4.0917
2025-05-05,4.1001
2025-05-06,4.0961
2025-05-07,4.0765
2025-05-08,4.0431
2025-05-09,4.0126
2025-05-12,3.9334
2025-05-13,3.9726
2025-05-14,3.9982
2025-05-15,3.9602
2025-05-16,3.9775
2025-05-19,4.0012
2025-05-20,3.964
2025-05-21,4.0267
2025-05-22,4.0335
2025-05-23,4.0864
2025-05-27,4.0139
2025-05-28,4.0101
2025-05-29,3.9607
2025-05-30,3.9898
2025-06-03,4.0167
2025-06-04,3.9987
2025-06-05,3.9882
2025-06-06,4.0022
