date,value
2025-01-17,4.3902
2025-01-20,4.3697
2025-01-21,4.3885
2025-01-22,4.3757
2025-01-23,4.3836
2025-01-24,4.4419
2025-01-27,4.5217
2025-01-28,4.496
2025-01-29,4.4689
2025-01-30,4.4547
2025-01-31,4.438
2025-02-03,4.4475
2025-02-04,4.4389
2025-02-05,4.4528
2025-02-06,4.407
2025-02-07,4.4227
2025-02-10,4.4215
2025-02-11,4.4368
2025-02-12,4.471
2025-02-13,4.4601
2025-02-14,4.4867
2025-02-17,4.4799
2025-02-18,4.4777
2025-02-19,4.4592
2025-02-20,4.4652
2025-02-21,4.5103
2025-02-24,4.5072
2025-02-25,4.5302
2025-02-26,4.5235
2025-02-27,4.503
2025-02-28,4.5231
2025-03-03,4.5545
2025-03-04,4.59
2025-03-05,4.6496
2025-03-06,4.6568
2025-03-07,4.673
2025-03-10,4.6932
2025-03-11,4.7187
2025-03-12,4.7094
2025-03-13,4.7263
2025-03-17,4.7519
2025-03-18,4.7605
2025-03-19,4.7643
2025-03-20,4.7561
2025-03-21,4.784
2025-03-24,4.7951
2025-03-25,4.7488
2025-03-26,4.7328
2025-03-27,4.757
2025-03-28,4.7711
2025-03-31,4.8108
2025-04-01,4.7777
2025-04-02,4.7843
2025-04-03,4.8712
2025-04-04,4.8279
2025-04-07,4.8327
2025-04-08,4.8097
2025-04-09,4.886
2025-04-10,4.8493
2025-04-11,4.8637
2025-04-14,4.8545
2025-04-15,4.8741
2025-04-16,4.8967
2025-04-17,4.8885
2025-04-21,4.9447
2025-04-22,4.9783
2025-04-23,4.8801
2025-04-24,4.8571
2025-04-25,4.8038
2025-04-28,4.8412
2025-04-29,4.8509
2025-04-30,4.8681
2025-05-02,4.8029
2025-05-05,4.8113
2025-05-06,4.8373
2025-05-07,4.7878
2025-05-08,4.7703
2025-05-09,4.731
2025-05-12,4.6725
2025-05-13,4.7228
2025-05-14,4.7481
2025-05-15,4.7
2025-05-16,4.7242
2025-05-19,4.7517
2025-05-20,4.7077
2025-05-21,4.7628
2025-05-22,4.7833
2025-05-23,4.8585
2025-05-27,4.7909
2025-05-28,4.7744
2025-05-29,4.7288
2025-05-30,4.7426
2025-06-03,4.7603
2025-06-04,4.7552
2025-06-05,4.7378
2025-06-06,4.7451
2025-06-09,4.7236
2025-06-10,4.718
2025-06-11,4.727
2025-06-12,4.8555
2025-06-13,4.8797
2025-06-16,4.8035
2025-06-17,4.7502
2025-06-18,4.7058
2025-06-19,4.6809
2025-06-20,4.6953
2025-06-23,4.6528
2025-06-24,4.6332
2025-06-25,4.6394
2025-06-26,4.6617
2025-06-27,4.6616
2025-06-30,4.6236
2025-07-01,4.638
2025-07-02,4.6195
2025-07-03,4.593
2025-07-04,4.5612
2025-07-07,4.5402
2025-07-08,4.5555
2025-07-09,4.5212
2025-07-10,4.4886
2025-07-11,4.5116
2025-07-14,4.5355
2025-07-15,4.497
2025-07-16,4.4969
2025-07-17,4.4974
2025-07-18,4.5093
2025-07-21,4.5178
2025-07-22,4.5254
2025-07-23,4.5103
2025-07-24,4.5249
2025-07-25,4.5243
2025-07-28,4.5004
2025-07-29,4.4892
2025-07-30,4.5028
2025-07-31,4.4831
2025-08-01,4.5051
2025-08-04,4.5218
2025-08-05,4.5766
2025-08-06,4.5932
2025-08-07,4.5715
2025-08-08,4.6173
2025-08-11,4.5878
2025-08-12,4.6162
2025-08-13,4.6008
2025-08-14,4.5997
2025-08-15,4.5812
2025-08-18,4.5903
2025-08-19,4.5697
2025-08-20,4.5913
2025-08-21,4.6037
2025-08-22,4.5679
2025-08-25,4.5636
2025-08-26,4.5413
2025-08-27,4.494
2025-08-28,4.4971
2025-08-29,4.4961
2025-09-01,4.5374
2025-09-02,4.5339
2025-09-03,4.5184
2025-09-04,4.5236
2025-09-05,4.5011
2025-09-08,4.4974
2025-09-09,4.5287
2025-09-10,4.5167
2025-09-11,4.5098
2025-09-12,4.5144
2025-09-15,4.5454
2025-09-16,4.5593
2025-09-17,4.5578
2025-09-18,4.5639
2025-09-19,4.5025
2025-09-25,4.4881
2025-09-26,4.4948
2025-09-29,4.4651
2025-09-30,4.4409
2025-10-03,4.4639
2025-10-06,4.4086
2025-10-08,4.3994
2025-10-09,4.3312
2025-10-10,4.3298
2025-10-13,4.3801
2025-10-15,4.3977
2025-10-16,4.433
2025-10-17,4.4615
2025-10-20,4.439
2025-10-21,4.4007
2025-10-22,4.3881
2025-10-23,4.4127
2025-10-24,4.382
2025-10-27,4.3481
2025-10-28,4.3365
2025-10-29,4.2955
2025-10-30,4.2794
2025-10-31,4.2611
2025-11-03,4.2741
2025-11-04,4.2691
2025-11-05,4.2656
2025-11-06,4.2582
2025-11-07,4.2787
2025-11-10,4.257
2025-11-11,4.2297
2025-11-12,4.1977
2025-11-13,4.222
2025-11-14,4.2569
2025-11-17,4.2722
2025-11-18,4.2991
2025-11-19,4.285
2025-11-20,4.257
2025-11-21,4.2918
2025-11-24,4.2957
2025-11-25,4.2944
2025-11-26,4.32
2025-11-27,4.3344
2025-11-28,4.3096
2025-12-01,4.3209
2025-12-02,4.2976
2025-12-03,4.2957
2025-12-04,4.3242
2025-12-05,4.3088
2025-12-08,4.2766
2025-12-09,4.28
2025-12-10,4.2962
2025-12-11,4.2954
2025-12-12,4.2848
2025-12-15,4.295
2025-12-16,4.3269
2025-12-17,4.2982
2025-12-18,4.2968
2025-12-19,4.291
2025-12-22,4.3056
2025-12-23,4.3118
2025-12-24,4.305
2025-12-29,4.3264
2025-12-30,4.2983
2025-12-31,4.29
2026-01-02,4.282
2026-01-05,4.2521
2026-01-06,4.2792
2026-01-07,4.2834
2026-01-08,4.2662
2026-01-09,4.255
2026-01-12,4.2433
2026-01-13,4.2409
2026-01-14,4.2369
2026-01-15,4.2299
2026-01-16,4.2024
2026-01-19,4.2394
2026-01-20,4.2615
2026-01-21,4.2579
2026-01-22,4.2166
2026-01-23,4.2283
2026-01-26,4.2878
2026-01-27,4.2602
2026-01-28,4.2609
2026-01-29,4.2563
2026-01-30,4.2601
2026-02-02,4.2475
2026-02-03,4.2179
2026-02-04,4.2336
2026-02-05,4.2331
2026-02-06,4.2427
2026-02-09,4.2276
2026-02-10,4.2131
2026-02-11,4.2169
2026-02-12,4.1856
2026-02-13,4.198
2026-02-16,4.2121
2026-02-17,4.2055
2026-02-18,4.2058
2026-02-19,4.2237
2026-02-20,4.2057
2026-02-23,4.2103
2026-02-24,4.2001
2026-02-25,4.1824
2026-02-26,4.2143
2026-02-27,4.2128
2026-03-02,4.121
2026-03-05,4.1066
2026-03-06,4.1139
2026-03-09,4.1575
2026-03-10,4.1532
2026-03-11,4.1725
2026-03-12,4.1689
2026-03-13,4.1744
2026-03-16,4.1432
2026-03-17,4.1424
2026-03-18,4.1308
2026-03-19,4.1429
2026-03-20,4.1635
2026-03-23,4.1569
2026-03-24,4.1867
2026-03-25,4.1782
2026-03-26,4.1693
2026-03-27,4.1942
2026-03-30,4.1956
2026-03-31,4.1873
2026-04-07,4.1652
2026-04-09,4.1384
2026-04-10,4.1018
2026-04-13,4.1095
2026-04-14,4.0944
2026-04-15,4.0843
2026-04-16,4.0536
2026-04-17,4.0479
2026-04-20,4.058
2026-04-21,4.0324
2026-04-23,4.0565
2026-04-24,4.0444
2026-04-27,4.0383
2026-04-28,4.034
2026-04-29,3.9992
2026-04-30,3.9921
2026-05-01,4.0101
2026-05-04,4.0115
2026-05-05,3.9873
2026-05-06,3.9592
2026-05-07,3.9609
2026-05-08,3.9557
2026-05-11,3.9572
2026-05-12,3.938
2026-05-13,3.9293
2026-05-14,3.9257
2026-05-15,3.892
2026-05-18,3.898
2026-05-19,3.8999
2026-05-20,3.9115
2026-05-21,3.9082
2026-05-26,3.8512
2026-05-27,3.8174
2026-05-28,3.7944
2026-05-29,3.773
2026-06-01,3.7877
2026-06-02,3.805
2026-06-03,3.8629
2026-06-04,3.8938
2026-06-05,3.9082
2026-06-08,3.9241
2026-06-09,3.9365
2026-06-10,3.9814
2026-06-11,3.9624
2026-06-12,3.9328
2026-06-15,3.9048
2026-06-16,3.9089
2026-06-17,3.9107
2026-06-18,3.8939
2026-06-19,3.9114
2026-06-22,3.928
2026-06-23,3.9537
2026-06-24,3.9353
2026-06-25,3.9192
2026-06-26,3.9608
2026-06-29,3.9421
2026-06-30,3.9389
2026-07-01,3.9475
2026-07-02,4.0008
2026-07-03,4.0011
2026-07-06,4.0089
2026-07-07,4.0521
2026-07-08,4.063
2026-07-09,4.0603
2026-07-10,4.0319
2026-07-13,4.0526
2026-07-14,4.0325
2026-07-15,4.0134
2026-07-16,4.0585
2026-07-17,4.1027
2026-07-20,4.1052
2026-07-21,4.0867
2026-07-22,4.0917
2026-07-24,4.0789
2026-07-27,4.046
2026-07-28,4.0623
2026-07-29,4.0649
2026-07-30,4.1103
2026-07-31,4.1093
2026-08-03,4.1161
2026-08-04,4.0757
2026-08-05,4.045
2026-08-06,4.0576
2026-08-07,4.0416
2026-08-10,4.0481
2026-08-11,4.0572
2026-08-12,4.0427
2026-08-13,4.0232
2026-08-14,3.9916
2026-08-17,3.9984
2026-08-18,4.0388
2026-08-19,4.0484
2026-08-20,4.0794
2026-08-21,4.0879
2026-08-24,4.0804
2026-08-25,4.0707
2026-08-26,4.0511
2026-08-27,4.0455
2026-08-28,4.0335
2026-08-31,4.0463
2026-09-01,4.0771
2026-09-02,4.1016
2026-09-03,4.0816
2026-09-04,4.0681
