date,value
2025-02-19,0.0036
2025-02-20,0.037
2025-02-21,0.027
2025-02-24,-0.0678
2025-02-25,-0.0868
2025-02-26,-0.0305
2025-02-27,0.0272
2025-02-28,0.0272
2025-03-03,-0.037
2025-03-04,0.0037
2025-03-05,0.066
2025-03-06,0.0465
2025-03-07,0.0465
2025-03-10,0.0103
2025-03-11,0.0136
2025-03-12,0.063
2025-03-13,0.0329
2025-03-14,0.0229
2025-03-17,0.0186
2025-03-18,0.0611
2025-03-19,0.0441
2025-03-20,0.037
2025-03-21,0.037
2025-03-24,0.0063
2025-03-25,-0.0568
2025-03-26,-0.0105
2025-03-27,-0.0192
2025-03-28,-0.0192
2025-03-31,-0.007
2025-04-01,-0.0163
2025-04-02,-0.0258
2025-04-03,0.0065
2025-04-04,-0.0235
2025-04-07,-0.2108
2025-04-08,-0.1997
2025-04-09,-0.0297
2025-04-10,-0.0004
2025-04-11,-0.0004
2025-04-14,0.0086
2025-04-15,0.0012
2025-04-16,-0.0064
2025-04-17,0.0982
2025-04-21,0.0163
2025-04-22,-0.002
2025-04-23,-0.0105
2025-04-24,0.0272
2025-04-25,0.0272
2025-04-28,-0.007
2025-04-29,0.0346
2025-04-30,0.0346
2025-05-01,0.0346
2025-05-02,0.0546
2025-05-05,0.0546
2025-05-06,0.0546
2025-05-08,0.0457
2025-05-09,0.0457
2025-05-12,0.1003
2025-05-13,0.0836
2025-05-14,0.0767
2025-05-15,0.0864
2025-05-16,0.0764
2025-05-19,0.1179
2025-05-20,0.0013
2025-05-21,0.0741
2025-05-22,0.077
2025-05-23,0.067
2025-05-27,0.018
2025-05-28,0.0652
2025-05-29,0.0672
2025-05-30,0.0672
2025-06-02,0.1472
2025-06-03,0.0328
2025-06-04,0.0323
2025-06-05,0.0931
2025-06-06,0.0831
2025-06-09,0.0751
2025-06-10,0.1236
2025-06-11,0.0703
2025-06-12,0.0727
2025-06-13,0.0627
2025-06-16,0.0594
2025-06-17,0.0413
2025-06-18,0.033
2025-06-20,0.0458
2025-06-23,0.0563
2025-06-24,0.048
2025-06-25,0.0395
2025-06-26,0.0408
2025-06-27,0.0408
2025-06-30,0.083
2025-07-01,0.0637
2025-07-02,0.0642
2025-07-03,0.1272
2025-07-07,0.1133
2025-07-08,0.1516
2025-07-09,0.1455
2025-07-10,0.1393
2025-07-11,0.1293
2025-07-14,0.1129
2025-07-15,0.1545
2025-07-16,0.1379
2025-07-17,0.1311
2025-07-18,0.1211
2025-07-21,0.1546
2025-07-22,0.0943
2025-07-23,0.0863
2025-07-24,0.1429
2025-07-25,0.1429
2025-07-28,0.0325
