date,value
2008-01,5.1086582426
2008-02,4.6347212201
2008-03,4.1191864475
2008-04,4.3756519703
2008-05,4.6256866652
2008-06,4.7201141613
2008-07,4.660162068
2008-08,4.7301027184
2008-09,4.7881642544
2008-10,4.3270217483
2008-11,3.8995037238
2008-12,2.7272021846
2009-01,2.1292873999
2009-02,1.7851147878
2009-03,1.7155984634
2009-04,1.592597498
2009-05,1.9160769278
2009-06,2.3134734374
2009-07,2.2526323806
2009-08,2.8373767712
2009-09,2.6385476093
2009-10,2.245794009
2009-11,2.3685082482
2009-12,2.769482719
2010-01,2.7989549606
2010-02,2.5740024923
2010-03,2.7919691978
2010-04,2.9104155634
2010-05,2.8253819074
2010-06,2.6801513518
2010-07,2.5701148625
2010-08,2.5989460925
2010-09,2.6798930502
2010-10,2.8002440833
2010-11,2.881639906
2010-12,2.9895781876
2011-01,3.0962255494
2011-02,3.4423715759
2011-03,3.7114103426
2011-04,4.0375225985
2011-05,4.0201249442
2011-06,3.9402620762
2011-07,3.8325996739
2011-08,3.3465547672
2011-09,3.1334187428
2011-10,2.9952408991
2011-11,2.8670207021
2011-12,2.7860734821
2012-01,2.6863739965
2012-02,2.7117814781
2012-03,2.8471911175
2012-04,2.8063937696
2012-05,2.6463469485
2012-06,2.3726678012
2012-07,2.1862591213
2012-08,2.1328339595
2012-09,2.2834932076
2012-10,2.2498521012
2012-11,1.9621575604
2012-12,1.8973633649
2013-01,1.8665671932
2013-02,1.8559841992
2013-03,1.8111404595
2013-04,1.7489473275
2013-05,1.5402181073
2013-06,1.4531117548
2013-07,1.4017866107
2013-08,1.393751957
2013-09,1.4810008456
2013-10,1.2247362584
2013-11,1.117381568
2013-12,1.103432459
2014-01,1.1427707272
2014-02,1.0622570014
2014-03,0.8472794809
2014-04,0.8796082732
2014-05,0.7714449454
2014-06,0.7610477034
2014-07,0.7949319466
2014-08,0.5814410571
2014-09,0.393755326
2014-10,0.2957129179
2014-11,0.317343768
2014-12,0.4570807758
2015-01,0.3638995562
2015-02,0.268189589
2015-03,0.2163886652
2015-04,0.1607389614
2015-05,0.2057070902
2015-06,0.3137092412
2015-07,0.3257454723
2015-08,0.2595138503
2015-09,0.2366776454
2015-10,0.224824715
2015-11,0.3403162788
2015-12,0.3988337722
2016-01,0.3269829365
2016-02,0.20560053
2016-03,0.2255011219
2016-04,0.2211396872
2016-05,0.2321432795
2016-06,0.2176232948
2016-07,0.1905375763
2016-08,0.2319693015
2016-09,0.257345866
2016-10,0.3080806007
2016-11,0.3757361024
2016-12,0.4101597906
2017-01,0.3694574972
2017-02,0.3559796738
2017-03,0.3551258859
2017-04,0.3468795934
2017-05,0.3192479787
2017-06,0.2724664497
2017-07,0.2270148667
2017-08,0.1721587206
2017-09,0.1480458914
2017-10,0.1741876245
2017-11,0.1642029548
2017-12,0.1763823852
2018-01,0.1997801624
2018-02,0.2469005875
2018-03,0.2571392839
2018-04,0.3085447966
2018-05,0.386437164
2018-06,0.4373377098
2018-07,0.4943697843
2018-08,0.4578049117
2018-09,0.4920753972
2018-10,0.5311313269
2018-11,0.5721518593
2018-12,0.7217527578
2019-01,0.6647099251
2019-02,0.5095068728
2019-03,0.4928679264
2019-04,0.5661393147
2019-05,0.5577797222
2019-06,0.429295044
2019-07,0.413723458
2019-08,0.2506545881
2019-09,0.2241418641
2019-10,0.1959162707
2019-11,0.1592038642
2019-12,0.1759047105
2020-01,0.1804244987
2020-02,0.1560096068
2020-03,0.3205547342
2020-04,0.1994983791
2020-05,0.131518157
2020-06,0.0807077125
2020-07,0.077497458
2020-08,0.0898701405
2020-09,0.0976025522
2020-10,0.0736610832
2020-11,0.1274595728
2020-12,0.1340896047
2021-01,0.0736244672
2021-02,0.1128851596
2021-03,0.1522103528
2021-04,0.1532607668
2021-05,0.1730304437
2021-06,0.1547622924
2021-07,0.090132519
2021-08,0.073040102
2021-09,0.086681345
2021-10,0.1694159757
2021-11,0.2073728414
2021-12,0.0704540414
2022-01,0.2292053027
2022-02,0.5888486326
2022-03,1.0964556087
2022-04,1.4781998584
2022-05,1.6693021922
2022-06,2.2546271442
2022-07,2.1104244668
2022-08,2.2785386993
2022-09,2.9125838668
2022-10,3.1808913406
2022-11,3.2809705244
2022-12,3.5031975001
2023-01,3.6534681547
2023-02,3.9691387675
2023-03,4.2597507352
2023-04,4.1617890627
2023-05,4.1826654972
2023-06,4.2081704023
2023-07,4.2048352948
2023-08,4.2532067834
2023-09,4.3781063833
2023-10,4.2361659141
2023-11,3.9139282568
2023-12,3.6900097508
2024-01,3.7839238276
2024-02,3.7761216861
2024-03,3.9102827086
2024-04,4.1863951417
2024-05,4.3297677683
2024-06,4.3726188798
2024-07,4.2855352995
2024-08,4.1740565117
2024-09,4.31754404
2024-10,4.5185535999
2024-11,4.4345228266
2024-12,4.243050199
2025-01,4.2547224891
2025-02,4.1613099207
2025-03,4.1534904532
2025-04,4.094087936
2025-05,4.1701380786
2025-06,4.2103383388
2025-07,4.0116826941
2025-08,3.9894815282
2025-09,3.9289339235
2025-10,3.7795372923
2025-11,3.7569530543
2025-12,3.795525772
2026-01,3.548481552
2026-02,3.4158089288
2026-03,3.7294129763
2026-04,3.7244573303
2026-05,3.643105241
2026-06,3.305445289
