date,value
2008-01,2.6189
2008-02,2.7004
2008-03,2.8072
2008-04,2.8873
2008-05,2.9858
2008-06,3.0943
2008-07,3.082
2008-08,2.8578
2008-09,2.7411
2008-10,2.4285
2008-11,2.5302
2008-12,2.0882
2009-01,2.1995
2009-02,2.1828
2009-03,2.1605
2009-04,2.3847
2009-05,2.5719
2009-06,2.7153
2009-07,2.7333
2009-08,2.8023
2009-09,2.6278
2009-10,2.7387
2009-11,2.7381
2009-12,2.7118
2010-01,2.6264
2010-02,2.5717
2010-03,2.6374
2010-04,2.6825
2010-05,2.7054
2010-06,2.7417
2010-07,2.7613
2010-08,2.7507
2010-09,2.8083
2010-10,2.8215
2010-11,2.8595
2010-12,2.7947
2011-01,2.816
2011-02,2.8684
2011-03,2.8686
2011-04,2.6884
2011-05,2.6877
2011-06,2.7365
2011-07,2.7597
2011-08,2.542
2011-09,2.4166
2011-10,2.4929
2011-11,2.4539
2011-12,2.439
2012-01,2.4752
2012-02,2.5717
2012-03,2.5511
2012-04,2.5607
2012-05,2.5124
2012-06,2.4381
2012-07,2.3817
2012-08,2.4893
2012-09,2.5488
2012-10,2.5668
2012-11,2.5703
2012-12,2.5752
2013-01,2.6009
2013-02,2.4878
2013-03,2.4241
2013-04,2.3061
2013-05,2.3643
2013-06,2.3401
2013-07,2.359
2013-08,2.3756
2013-09,2.3405
2013-10,2.2791
2013-11,2.3574
2013-12,2.3529
2014-01,2.2711
2014-02,2.2705
2014-03,2.2481
2014-04,2.2726
2014-05,2.1696
2014-06,2.1761
2014-07,2.1935
2014-08,2.1014
2014-09,1.9763
2014-10,1.8074
2014-11,1.761
2014-12,1.8457
2015-01,1.7476
2015-02,1.7432
2015-03,1.6961
2015-04,1.659
2015-05,1.7364
2015-06,1.773
2015-07,1.7361
2015-08,1.6453
2015-09,1.6419
2015-10,1.6229
2015-11,1.5876
2015-12,1.5795
2016-01,1.4983
2016-02,1.4342
2016-03,1.5729
2016-04,1.5598
2016-05,1.6109
2016-06,1.5468
2016-07,1.6062
2016-08,1.561
2016-09,1.5343
2016-10,1.5341
2016-11,1.6979
2016-12,1.7313
2017-01,1.6665
2017-02,1.6235
2017-03,1.4453
2017-04,1.4703
2017-05,1.5592
2017-06,1.4682
2017-07,1.5407
2017-08,1.5044
2017-09,1.5075
2017-10,1.4894
2017-11,1.5451
2017-12,1.5827
2018-01,1.6315
2018-02,1.6506
2018-03,1.5578
2018-04,1.5827
2018-05,1.6473
2018-06,1.7102
2018-07,1.6839
2018-08,1.7298
2018-09,1.6946
2018-10,1.7326
2018-11,1.6369
2018-12,1.6114
2019-01,1.6083
2019-02,1.6341
2019-03,1.6854
2019-04,1.6771
2019-05,1.6957
2019-06,1.7175
2019-07,1.6565
2019-08,1.5534
2019-09,1.5204
2019-10,1.5633
2019-11,1.4796
2019-12,1.4295
2020-01,1.4669
2020-02,1.4123
2020-03,1.0798
2020-04,1.2265
2020-05,1.2719
2020-06,1.3702
2020-07,1.2242
2020-08,1.3244
2020-09,1.3596
2020-10,1.2838
2020-11,1.3566
2020-12,1.4631
2021-01,1.6194
2021-02,1.6283
2021-03,1.7174
2021-04,1.6513
2021-05,1.9593
2021-06,2.0135
2021-07,1.9214
2021-08,2.0032
2021-09,2.2043
2021-10,2.4355
2021-11,2.5179
2021-12,2.4502
2022-01,2.6018
2022-02,2.411
2022-03,2.6396
2022-04,2.7093
2022-05,2.4273
2022-06,2.5033
2022-07,2.3621
2022-08,2.4342
2022-09,2.6504
2022-10,2.6468
2022-11,2.6579
2022-12,2.6042
2023-01,2.5961
2023-02,2.7298
2023-03,2.758
2023-04,2.7393
2023-05,2.6884
2023-06,2.6849
2023-07,2.7523
2023-08,2.69
2023-09,2.6665
2023-10,2.7221
2023-11,2.5409
2023-12,2.5292
2024-01,2.6667
2024-02,2.707
2024-03,2.7228
2024-04,2.8017
2024-05,2.7623
2024-06,2.7013
2024-07,2.6802
2024-08,2.6927
2024-09,2.7415
2024-10,2.7406
2024-11,2.5814
2024-12,2.5166
2025-01,2.4616
2025-02,2.3561
2025-03,2.3624
2025-04,2.1855
2025-05,2.2051
2025-06,2.2056
2025-07,2.2468
2025-08,2.2045
2025-09,2.169
2025-10,2.198
2025-11,2.2056
2025-12,2.1335
2026-01,2.0701
2026-02,1.9915
2026-03,1.9838
2026-04,1.8308
2026-05,1.8983
2026-06,1.8791
2026-07,1.8896
2026-08,1.8762
