date,value
2008-01,2.7715493294
2008-02,2.554098761
2008-03,1.756109204
2008-04,1.5239398588
2008-05,1.7137402445
2008-06,1.6814254114
2008-07,1.4082958707
2008-08,1.9644688835
2008-09,2.4961369156
2008-10,3.3645820995
2008-11,3.5739139959
2008-12,3.1907221089
2009-01,2.0799752476
2009-02,1.498244347
2009-03,1.1084931803
2009-04,0.5985911141
2009-05,-0.19720308
2009-06,-0.1600781216
2009-07,-0.5217729853
2009-08,-0.2571892046
2009-09,-0.009974865
2009-10,-0.1837192533
2009-11,-0.2355798806
2009-12,0.1276015606
2010-01,0.3327469508
2010-02,0.3808593965
2010-03,0.315623117
2010-04,0.4526030858
2010-05,0.2584366571
2010-06,-0.1163665679
2010-07,-0.3591249735
2010-08,-0.3027627937
2010-09,-0.1619676336
2010-10,-0.1430389618
2010-11,-0.1653346182
2010-12,0.1703701315
2011-01,0.1974938401
2011-02,0.3405099299
2011-03,0.6259560255
2011-04,1.0853249547
2011-05,0.9773718412
2011-06,1.0943215068
2011-07,0.8861303568
2011-08,0.9878605917
2011-09,0.9697491076
2011-10,1.0460447646
2011-11,0.9254058561
2011-12,0.7346209151
2012-01,0.5641501819
2012-02,0.4144525926
2012-03,0.3681483956
2012-04,0.3257005391
2012-05,0.3426592841
2012-06,0.092613451
2012-07,-0.1054536841
2012-08,-0.4553775453
2012-09,-0.3845055092
2012-10,-0.3783925358
2012-11,-0.4031790281
2012-12,-0.3336265269
2013-01,-0.3341994001
2013-02,-0.2860319207
2013-03,-0.4098247871
2013-04,-0.2796964304
2013-05,-0.4815967693
2013-06,-0.4988526049
2013-07,-0.5592443012
2013-08,-0.6659633402
2013-09,-0.6074334532
2013-10,-0.7175438422
2013-11,-0.7108841488
2013-12,-0.869364648
2014-01,-0.8295329303
2014-02,-0.8494025472
2014-03,-1.0459852973
2014-04,-1.0353453846
2014-05,-0.9674625904
2014-06,-0.806699817
2014-07,-0.7199894683
2014-08,-0.7302891077
2014-09,-0.8901327667
2014-10,-0.6683311729
2014-11,-0.3826957028
2014-12,-0.4105143077
2015-01,-0.4270827172
2015-02,-0.7123376004
2015-03,-0.8109869912
2015-04,-0.8565156933
2015-05,-1.0770671119
2015-06,-1.0131434327
2015-07,-0.9563788564
2015-08,-0.6197248095
2015-09,-0.5547965317
2015-10,-0.5271396661
2015-11,-0.3591752186
2015-12,-0.1326153495
2016-01,0.1371675952
2016-02,0.0754197569
2016-03,-0.2108290781
2016-04,-0.3166278263
2016-05,-0.3080210107
2016-06,-0.3368317726
2016-07,-0.4310140526
2016-08,-0.3232705655
2016-09,-0.3486521922
2016-10,-0.2956266139
2016-11,-0.2709334663
2016-12,-0.21220134
2017-01,-0.0491650136
2017-02,-0.0227997312
2017-03,0.1340091117
2017-04,-0.0427842238
2017-05,-0.2910103436
2017-06,-0.3288583409
2017-07,-0.3449419777
2017-08,-0.2224721301
2017-09,-0.2389616226
2017-10,-0.1886308166
2017-11,-0.3816335979
2017-12,-0.4706169422
2018-01,-0.4802468108
2018-02,-0.6203632001
2018-03,-0.5158680708
2018-04,-0.6264152298
2018-05,-0.6520317834
2018-06,-0.8246756335
2018-07,-0.9254623655
2018-08,-0.9076994299
2018-09,-0.8013581521
2018-10,-0.7465493141
2018-11,-0.5939102858
2018-12,-0.5742388735
2019-01,-0.5945605701
2019-02,-0.7458068285
2019-03,-0.8326491316
2019-04,-0.7512680418
2019-05,-0.779300103
2019-06,-0.9993003997
2019-07,-0.9510714059
2019-08,-0.8841749928
2019-09,-0.9932597209
2019-10,-0.9907853456
2019-11,-0.9632346049
2019-12,-0.8330328443
2020-01,-0.9765790699
2020-02,-0.9583200538
2020-03,0.5561458657
2020-04,0.1643845937
2020-05,-0.2395401629
2020-06,-0.5133390248
2020-07,-0.1459356165
2020-08,-0.3182152797
2020-09,-0.28322725
2020-10,-0.1336798012
2020-11,-0.3337457351
2020-12,-0.5954132502
2021-01,-0.9701411153
2021-02,-1.1855175809
2021-03,-1.3055316177
2021-04,-1.4047273213
2021-05,-1.8059112458
2021-06,-1.945289706
2021-07,-1.8574040236
2021-08,-1.9232927631
2021-09,-2.2225973193
2021-10,-2.5744395026
2021-11,-2.4665623496
2021-12,-2.4308520255
2022-01,-2.4664675201
2022-02,-2.1242376141
2022-03,-2.4124371645
2022-04,-2.0103167768
2022-05,-1.5079478685
2022-06,-0.9407427887
2022-07,-0.7905474168
2022-08,-0.592326081
2022-09,-0.4305329802
2022-10,0.287250197
2022-11,0.4797440464
2022-12,0.8663916225
2023-01,1.1114730452
2023-02,1.1097511314
2023-03,1.3696162038
2023-04,1.2674434027
2023-05,1.3643702785
2023-06,1.4249970738
2023-07,1.3879488129
2023-08,1.5074089305
2023-09,1.6191987739
2023-10,1.5735954953
2023-11,1.5129800792
2023-12,1.2341456865
2024-01,1.1785006383
2024-02,1.1136284287
2024-03,1.2878639173
2024-04,1.3271959141
2024-05,1.4437602137
2024-06,1.522203417
2024-07,1.6610461281
2024-08,1.6021727681
2024-09,1.4955215944
2024-10,1.6669906199
2024-11,1.9054198276
2024-12,1.8553195596
2025-01,2.0222879167
2025-02,2.0855013144
2025-03,2.098177211
2025-04,2.2806845786
2025-05,2.258862845
2025-06,2.2908507978
2025-07,2.246982819
2025-08,2.2005986211
2025-09,2.0091407355
2025-10,1.915267051
2025-11,1.9193532986
2025-12,1.9818978821
2026-01,1.8334780036
2026-02,1.7530964293
2026-03,1.9501255574
2026-04,2.1021981319
2026-05,1.8192990002
2026-06,1.6683324176
2026-07,1.6258602951
2026-08,1.8015483958
