date,value
2008-01,104.229
2008-02,129.3702
2008-03,182.4605
2008-04,168.0884
2008-05,152.8684
2008-06,150.427
2008-07,163.6763
2008-08,133.2305
2008-09,129.7397
2008-10,198.46
2008-11,272.5574
2008-12,277.9417
2009-01,320.881
2009-02,321.4735
2009-03,324.1793
2009-04,344.8911
2009-05,367.4545
2009-06,353.6759
2009-07,342.9941
2009-08,279.7245
2009-09,281.0649
2009-10,311.7256
2009-11,283.1845
2009-12,254.714
2010-01,251.1837
2010-02,261.3
2010-03,232.1069
2010-04,226.8388
2010-05,228.2146
2010-06,226.0435
2010-07,226.9503
2010-08,199.8109
2010-09,192.9102
2010-10,174.2133
2010-11,181.9147
2010-12,196.5067
2011-01,194.9739
2011-02,186.3328
2011-03,175.939
2011-04,143.42
2011-05,137.0375
2011-06,143.2552
2011-07,147.452
2011-08,163.3783
2011-09,172.6128
2011-10,178.156
2011-11,194.4797
2011-12,202.6861
2012-01,201.0789
2012-02,207.4428
2012-03,208.059
2012-04,207.9134
2012-05,212.4154
2012-06,229.0905
2012-07,223.6535
2012-08,231.9866
2012-09,232.6637
2012-10,221.3325
2012-11,232.5883
2012-12,220.3198
2013-01,229.6874
2013-02,235.6592
2013-03,234.3542
2013-04,215.3604
2013-05,222.6017
2013-06,258.6494
2013-07,260.3995
2013-08,274.5295
2013-09,273.446
2013-10,274.6744
2013-11,280.4858
2013-12,282.4255
2014-01,278.6501
2014-02,275.9205
2014-03,273.5977
2014-04,270.4263
2014-05,251.2765
2014-06,231.2407
2014-07,221.3548
2014-08,224.9279
2014-09,227.8337
2014-10,209.9297
2014-11,207.3491
2014-12,215.9302
2015-01,185.7042
2015-02,174.0266
2015-03,161.939
2015-04,151.3564
2015-05,182.3557
2015-06,216.6098
2015-07,219.9211
2015-08,206.5084
2015-09,212.9342
2015-10,196.014
2015-11,189.4824
2015-12,185.6821
2016-01,177.351
2016-02,173.0149
2016-03,178.3113
2016-04,171.0887
2016-05,169.2538
2016-06,165.4911
2016-07,161.6298
2016-08,163.6523
2016-09,165.6884
2016-10,168.4113
2016-11,186.7545
2016-12,200.0107
2017-01,198.4591
2017-02,203.0274
2017-03,197.2522
2017-04,191.6459
2017-05,192.4349
2017-06,186.7948
2017-07,186.7059
2017-08,169.662
2017-09,170.8204
2017-10,173.2439
2017-11,176.6622
2017-12,175.163
2018-01,164.2445
2018-02,180.5723
2018-03,169.3908
2018-04,165.9038
2018-05,172.0973
2018-06,172.7362
2018-07,172.154
2018-08,174.012
2018-09,177.2635
2018-10,182.8516
2018-11,185.8845
2018-12,171.8162
2019-01,163.4236
2019-02,164.3808
2019-03,158.9979
2019-04,143.7942
2019-05,135.746
2019-06,129.8671
2019-07,115.8566
2019-08,84.4636
2019-09,92.2437
2019-10,82.4225
2019-11,87.0492
2019-12,77.2375
2020-01,71.3761
2020-02,62.1174
2020-03,63.5886
2020-04,66.5903
2020-05,67.5397
2020-06,65.0938
2020-07,59.4108
2020-08,60.7289
2020-09,65.7271
2020-10,75.3584
2020-11,79.0123
2020-12,79.4444
2021-01,87.0109
2021-02,100.9508
2021-03,112.5213
2021-04,107.4502
2021-05,116.9483
2021-06,122.6206
2021-07,115.8355
2021-08,111.5992
2021-09,121.5809
2021-10,125.3663
2021-11,112.8955
2021-12,113.0553
2022-01,120.7455
2022-02,118.8956
2022-03,103.5237
2022-04,90.6036
2022-05,92.2936
2022-06,74.0133
2022-07,52.3668
2022-08,33.9527
2022-09,20.9421
2022-10,18.3527
2022-11,-1.1791
2022-12,-12.8032
2023-01,-30.2672
2023-02,-40.8621
2023-03,-39.4861
2023-04,-27.4822
2023-05,-36.4426
2023-06,-43.4083
2023-07,-41.2406
2023-08,-31.2989
2023-09,-35.4773
2023-10,24.7724
2023-11,48.7814
2023-12,37.9774
2024-01,55.0105
2024-02,58.796
2024-03,46.8083
2024-04,51.6343
2024-05,46.4535
2024-06,54.4759
2024-07,59.8381
2024-08,58.9408
2024-09,61.9663
2024-10,43.0235
2024-11,30.0057
2024-12,24.8138
2025-01,24.4068
2025-02,16.216
2025-03,26.3657
2025-04,31.6319
2025-05,29.1215
2025-06,25.6179
2025-07,20.8167
2025-08,22.9364
2025-09,26.1522
2025-10,19.132
2025-11,20.863
2025-12,24.4634
2026-01,33.5208
2026-02,41.7331
2026-03,26.9525
2026-04,30.2494
2026-05,30.6598
2026-06,46.0549
2026-07,49.7471
2026-08,51.8245
