date,value,source
2009-01-01,190.22,tase_eod
2009-01-04,190.69,tase_eod
2009-01-05,188.96,tase_eod
2009-01-06,190.51,tase_eod
2009-01-07,190.81,tase_eod
2009-01-08,189.67,tase_eod
2009-01-11,191.12,tase_eod
2009-01-12,192.89,tase_eod
2009-01-13,192.89,tase_eod
2009-01-14,192.73,tase_eod
2009-01-15,189.49,tase_eod
2009-01-18,192.57,tase_eod
2009-01-19,193.85,tase_eod
2009-01-20,193.43,tase_eod
2009-01-21,190.42,tase_eod
2009-01-22,189.74,tase_eod
2009-01-25,189.3,tase_eod
2009-01-26,190.28,tase_eod
2009-01-27,193.86,tase_eod
2009-01-28,195.38,tase_eod
2009-01-29,194.91,tase_eod
2009-02-01,195.95,tase_eod
2009-02-02,198.4,tase_eod
2009-02-03,199.92,tase_eod
2009-02-04,201.99,tase_eod
2009-02-05,201.54,tase_eod
2009-02-08,201.12,tase_eod
2009-02-09,198.76,tase_eod
2009-02-11,195.05,tase_eod
2009-02-12,195.03,tase_eod
2009-02-15,195.58,tase_eod
2009-02-16,196.6,tase_eod
2009-02-17,201.81,tase_eod
2009-02-18,199.15,tase_eod
2009-02-19,199.58,tase_eod
2009-02-22,197.12,tase_eod
2009-02-23,196.33,tase_eod
2009-02-24,194.2,tase_eod
2009-02-25,195.01,tase_eod
2009-02-26,195.93,tase_eod
2009-03-01,195.32,tase_eod
2009-03-02,194.13,tase_eod
2009-03-03,192.86,tase_eod
2009-03-04,193.92,tase_eod
2009-03-05,193.62,tase_eod
2009-03-08,193.87,tase_eod
2009-03-09,195.03,tase_eod
2009-03-11,195.44,tase_eod
2009-03-12,195.43,tase_eod
2009-03-15,196.1,tase_eod
2009-03-16,196.28,tase_eod
2009-03-17,196.97,tase_eod
2009-03-18,198.47,tase_eod
2009-03-19,200.91,tase_eod
2009-03-22,202.01,tase_eod
2009-03-23,203.62,tase_eod
2009-03-24,203.95,tase_eod
2009-03-25,203.76,tase_eod
2009-03-26,205.9,tase_eod
2009-03-29,206.47,tase_eod
2009-03-30,205.45,tase_eod
2009-03-31,205.41,tase_eod
2009-04-01,208.16,tase_eod
2009-04-02,209.69,tase_eod
2009-04-05,211.0,tase_eod
2009-04-06,208.43,tase_eod
2009-04-07,208.51,tase_eod
2009-04-12,212.13,tase_eod
2009-04-13,211.88,tase_eod
2009-04-16,213.24,tase_eod
2009-04-19,211.77,tase_eod
2009-04-20,211.39,tase_eod
2009-04-21,210.83,tase_eod
2009-04-22,212.5,tase_eod
2009-04-23,214.54,tase_eod
2009-04-26,215.43,tase_eod
2009-04-27,214.94,tase_eod
2009-04-30,214.76,tase_eod
2009-05-03,214.39,tase_eod
2009-05-04,214.77,tase_eod
2009-05-05,216.27,tase_eod
2009-05-06,215.69,tase_eod
2009-05-07,216.34,tase_eod
2009-05-10,216.35,tase_eod
2009-05-11,215.29,tase_eod
2009-05-12,213.57,tase_eod
2009-05-13,212.36,tase_eod
2009-05-14,211.79,tase_eod
2009-05-17,214.32,tase_eod
2009-05-18,216.74,tase_eod
2009-05-19,216.25,tase_eod
2009-05-20,216.96,tase_eod
2009-05-21,216.07,tase_eod
2009-05-24,213.44,tase_eod
2009-05-25,213.75,tase_eod
2009-05-26,211.63,tase_eod
2009-05-27,211.24,tase_eod
2009-05-31,212.7,tase_eod
2009-06-01,214.86,tase_eod
2009-06-02,216.46,tase_eod
2009-06-03,217.08,tase_eod
2009-06-04,217.08,tase_eod
2009-06-07,216.94,tase_eod
2009-06-08,216.85,tase_eod
2009-06-09,217.08,tase_eod
2009-06-10,217.78,tase_eod
2009-06-11,218.35,tase_eod
2009-06-14,218.85,tase_eod
2009-06-15,218.28,tase_eod
2009-06-16,218.35,tase_eod
2009-06-17,218.97,tase_eod
2009-06-18,220.7,tase_eod
2009-06-21,222.91,tase_eod
2009-06-22,224.56,tase_eod
2009-06-23,223.92,tase_eod
2009-06-24,223.74,tase_eod
2009-06-25,222.51,tase_eod
2009-06-28,222.74,tase_eod
2009-06-29,223.38,tase_eod
2009-06-30,224.54,tase_eod
2009-07-01,224.93,tase_eod
2009-07-02,224.69,tase_eod
2009-07-05,221.66,tase_eod
2009-07-06,218.34,tase_eod
2009-07-07,220.4,tase_eod
2009-07-08,220.58,tase_eod
2009-07-09,221.59,tase_eod
2009-07-12,223.05,tase_eod
2009-07-13,224.17,tase_eod
2009-07-14,225.83,tase_eod
2009-07-15,225.84,tase_eod
2009-07-16,227.03,tase_eod
2009-07-19,228.39,tase_eod
2009-07-20,228.8,tase_eod
2009-07-21,227.94,tase_eod
2009-07-22,227.62,tase_eod
2009-07-23,226.99,tase_eod
2009-07-26,227.25,tase_eod
2009-07-27,227.01,tase_eod
2009-07-28,228.04,tase_eod
2009-07-29,229.91,tase_eod
2009-08-02,231.96,tase_eod
2009-08-03,233.08,tase_eod
2009-08-04,233.17,tase_eod
2009-08-05,235.35,tase_eod
2009-08-06,234.84,tase_eod
2009-08-09,233.37,tase_eod
2009-08-10,231.38,tase_eod
2009-08-11,231.38,tase_eod
2009-08-12,231.83,tase_eod
2009-08-13,233.41,tase_eod
2009-08-16,232.71,tase_eod
2009-08-17,230.51,tase_eod
2009-08-18,231.37,tase_eod
2009-08-19,232.5,tase_eod
2009-08-20,233.57,tase_eod
2009-08-23,234.83,tase_eod
2009-08-24,235.2,tase_eod
2009-08-25,235.85,tase_eod
2009-08-26,235.98,tase_eod
2009-08-27,235.62,tase_eod
2009-08-30,232.4,tase_eod
2009-08-31,232.75,tase_eod
2009-09-01,233.91,tase_eod
2009-09-02,233.14,tase_eod
2009-09-03,233.4,tase_eod
2009-09-06,233.07,tase_eod
2009-09-07,231.1,tase_eod
2009-09-08,230.99,tase_eod
2009-09-09,231.96,tase_eod
2009-09-10,231.1,tase_eod
2009-09-13,230.12,tase_eod
2009-09-14,227.84,tase_eod
2009-09-15,229.86,tase_eod
2009-09-16,232.02,tase_eod
2009-09-17,233.12,tase_eod
2009-09-21,233.97,tase_eod
2009-09-22,234.21,tase_eod
2009-09-23,234.66,tase_eod
2009-09-24,235.26,tase_eod
2009-09-29,236.96,tase_eod
2009-09-30,238.78,tase_eod
2009-10-01,238.42,tase_eod
2009-10-04,238.42,tase_eod
2009-10-05,238.66,tase_eod
2009-10-06,238.68,tase_eod
2009-10-07,238.56,tase_eod
2009-10-08,239.21,tase_eod
2009-10-11,239.27,tase_eod
2009-10-12,239.48,tase_eod
2009-10-13,239.96,tase_eod
2009-10-14,239.92,tase_eod
2009-10-15,239.76,tase_eod
2009-10-18,240.6,tase_eod
2009-10-19,241.33,tase_eod
2009-10-20,241.43,tase_eod
2009-10-21,240.66,tase_eod
2009-10-22,240.38,tase_eod
2009-10-25,240.48,tase_eod
2009-10-26,240.72,tase_eod
2009-10-27,241.1,tase_eod
2009-10-28,240.97,tase_eod
2009-10-29,240.08,tase_eod
2009-11-01,239.8,tase_eod
2009-11-02,240.24,tase_eod
2009-11-03,239.87,tase_eod
2009-11-04,241.24,tase_eod
2009-11-05,241.67,tase_eod
2009-11-08,242.55,tase_eod
2009-11-09,243.44,tase_eod
2009-11-10,243.53,tase_eod
2009-11-11,244.7,tase_eod
2009-11-12,244.99,tase_eod
2009-11-15,245.19,tase_eod
2009-11-16,246.2,tase_eod
2009-11-17,246.24,tase_eod
2009-11-18,246.6,tase_eod
2009-11-19,245.64,tase_eod
2009-11-22,245.04,tase_eod
2009-11-23,244.88,tase_eod
2009-11-24,243.73,tase_eod
2009-11-25,243.95,tase_eod
2009-11-26,243.85,tase_eod
2009-11-29,242.88,tase_eod
2009-11-30,243.46,tase_eod
2009-12-01,243.66,tase_eod
2009-12-02,245.17,tase_eod
2009-12-03,246.03,tase_eod
2009-12-06,246.03,tase_eod
2009-12-07,245.11,tase_eod
2009-12-08,244.44,tase_eod
2009-12-09,243.79,tase_eod
2009-12-10,243.43,tase_eod
2009-12-13,242.64,tase_eod
2009-12-14,241.17,tase_eod
2009-12-15,237.6,tase_eod
2009-12-16,238.92,tase_eod
2009-12-17,240.33,tase_eod
2009-12-20,240.91,tase_eod
2009-12-21,241.43,tase_eod
2009-12-22,241.16,tase_eod
2009-12-23,241.15,tase_eod
2009-12-24,241.18,tase_eod
2009-12-27,240.27,tase_eod
2009-12-28,239.86,tase_eod
2009-12-29,239.47,tase_eod
2009-12-30,239.56,tase_eod
2009-12-31,241.07,tase_eod
2010-01-03,242.66,tase_eod
2010-01-04,242.99,tase_eod
2010-01-05,243.49,tase_eod
2010-01-06,243.11,tase_eod
2010-01-07,242.96,tase_eod
2010-01-10,243.86,tase_eod
2010-01-11,244.6,tase_eod
2010-01-12,244.01,tase_eod
2010-01-13,244.43,tase_eod
2010-01-14,244.9,tase_eod
2010-01-17,245.57,tase_eod
2010-01-18,246.13,tase_eod
2010-01-19,246.37,tase_eod
2010-01-20,246.93,tase_eod
2010-01-21,247.0,tase_eod
2010-01-24,246.39,tase_eod
2010-01-25,246.87,tase_eod
2010-01-26,246.57,tase_eod
2010-01-27,246.82,tase_eod
2010-01-28,247.29,tase_eod
2010-01-31,246.75,tase_eod
2010-02-01,247.22,tase_eod
2010-02-02,248.1,tase_eod
2010-02-03,249.0,tase_eod
2010-02-04,249.06,tase_eod
2010-02-07,248.82,tase_eod
2010-02-08,248.91,tase_eod
2010-02-09,248.75,tase_eod
2010-02-10,248.81,tase_eod
2010-02-11,248.84,tase_eod
2010-02-14,249.5,tase_eod
2010-02-15,249.98,tase_eod
2010-02-16,249.96,tase_eod
2010-02-17,250.13,tase_eod
2010-02-18,249.96,tase_eod
2010-02-21,250.04,tase_eod
2010-02-22,249.37,tase_eod
2010-02-23,248.97,tase_eod
2010-02-24,248.79,tase_eod
2010-02-25,248.64,tase_eod
2010-03-01,249.36,tase_eod
2010-03-02,250.31,tase_eod
2010-03-03,250.66,tase_eod
2010-03-04,251.18,tase_eod
2010-03-07,251.46,tase_eod
2010-03-08,251.75,tase_eod
2010-03-09,251.65,tase_eod
2010-03-10,251.93,tase_eod
2010-03-11,251.92,tase_eod
2010-03-14,252.22,tase_eod
2010-03-15,251.97,tase_eod
2010-03-16,252.62,tase_eod
2010-03-17,253.39,tase_eod
2010-03-18,254.02,tase_eod
2010-03-21,253.04,tase_eod
2010-03-22,252.35,tase_eod
2010-03-23,252.59,tase_eod
2010-03-24,252.63,tase_eod
2010-03-25,252.34,tase_eod
2010-03-28,252.26,tase_eod
2010-03-31,252.19,tase_eod
2010-04-01,252.25,tase_eod
2010-04-06,250.85,tase_eod
2010-04-07,250.3,tase_eod
2010-04-08,249.73,tase_eod
2010-04-11,250.6,tase_eod
2010-04-12,250.96,tase_eod
2010-04-13,250.91,tase_eod
2010-04-14,250.5,tase_eod
2010-04-15,250.19,tase_eod
2010-04-18,250.6,tase_eod
2010-04-21,251.28,tase_eod
2010-04-22,252.05,tase_eod
2010-04-25,252.25,tase_eod
2010-04-26,252.01,tase_eod
2010-04-27,252.33,tase_eod
2010-04-28,251.83,tase_eod
2010-04-29,251.29,tase_eod
2010-05-02,252.06,tase_eod
2010-05-03,253.01,tase_eod
2010-05-04,253.04,tase_eod
2010-05-05,251.59,tase_eod
2010-05-06,250.35,tase_eod
2010-05-09,248.92,tase_eod
2010-05-10,250.93,tase_eod
2010-05-11,251.2,tase_eod
2010-05-12,252.43,tase_eod
2010-05-13,252.85,tase_eod
2010-05-16,252.44,tase_eod
2010-05-17,253.34,tase_eod
2010-05-20,252.22,tase_eod
2010-05-23,252.04,tase_eod
2010-05-24,251.06,tase_eod
2010-05-25,249.64,tase_eod
2010-05-26,250.05,tase_eod
2010-05-27,251.69,tase_eod
2010-05-30,252.44,tase_eod
2010-05-31,252.74,tase_eod
2010-06-01,253.07,tase_eod
2010-06-02,253.48,tase_eod
2010-06-03,254.05,tase_eod
2010-06-06,254.63,tase_eod
2010-06-07,254.08,tase_eod
2010-06-08,253.95,tase_eod
2010-06-09,254.34,tase_eod
2010-06-10,254.49,tase_eod
2010-06-13,254.15,tase_eod
2010-06-14,253.42,tase_eod
2010-06-15,253.86,tase_eod
2010-06-16,254.55,tase_eod
2010-06-17,255.77,tase_eod
2010-06-20,256.44,tase_eod
2010-06-21,256.54,tase_eod
2010-06-22,256.99,tase_eod
2010-06-23,257.28,tase_eod
2010-06-24,256.92,tase_eod
2010-06-27,257.2,tase_eod
2010-06-28,257.37,tase_eod
2010-06-29,257.26,tase_eod
2010-06-30,256.95,tase_eod
2010-07-01,256.73,tase_eod
2010-07-04,256.79,tase_eod
2010-07-05,257.65,tase_eod
2010-07-06,258.95,tase_eod
2010-07-07,258.92,tase_eod
2010-07-08,259.39,tase_eod
2010-07-11,258.89,tase_eod
2010-07-12,258.11,tase_eod
2010-07-13,258.2,tase_eod
2010-07-14,258.08,tase_eod
2010-07-15,258.8,tase_eod
2010-07-18,259.3,tase_eod
2010-07-19,259.47,tase_eod
2010-07-21,259.65,tase_eod
2010-07-22,260.3,tase_eod
2010-07-25,260.84,tase_eod
2010-07-26,261.25,tase_eod
2010-07-27,261.0,tase_eod
2010-07-28,260.52,tase_eod
2010-07-29,260.38,tase_eod
2010-08-01,261.13,tase_eod
2010-08-02,261.42,tase_eod
2010-08-03,261.63,tase_eod
2010-08-04,262.21,tase_eod
2010-08-05,262.63,tase_eod
2010-08-08,263.52,tase_eod
2010-08-09,262.9,tase_eod
2010-08-10,262.57,tase_eod
2010-08-11,262.78,tase_eod
2010-08-12,262.96,tase_eod
2010-08-15,263.62,tase_eod
2010-08-16,263.4,tase_eod
2010-08-17,263.55,tase_eod
2010-08-18,263.56,tase_eod
2010-08-19,263.43,tase_eod
2010-08-22,263.59,tase_eod
2010-08-23,263.97,tase_eod
2010-08-24,264.0,tase_eod
2010-08-25,264.04,tase_eod
2010-08-26,264.44,tase_eod
2010-08-29,264.42,tase_eod
2010-08-30,264.41,tase_eod
2010-08-31,264.78,tase_eod
2010-09-01,265.43,tase_eod
2010-09-02,265.9,tase_eod
2010-09-05,265.58,tase_eod
2010-09-06,265.58,tase_eod
2010-09-07,264.92,tase_eod
2010-09-12,263.92,tase_eod
2010-09-13,263.29,tase_eod
2010-09-14,262.03,tase_eod
2010-09-15,262.66,tase_eod
2010-09-16,262.87,tase_eod
2010-09-19,262.89,tase_eod
2010-09-20,262.72,tase_eod
2010-09-21,262.58,tase_eod
2010-09-26,263.14,tase_eod
2010-09-27,264.28,tase_eod
2010-09-28,264.93,tase_eod
2010-10-03,265.0,tase_eod
2010-10-04,265.35,tase_eod
2010-10-05,265.99,tase_eod
2010-10-06,266.2,tase_eod
2010-10-07,266.38,tase_eod
2010-10-10,267.92,tase_eod
2010-10-11,268.64,tase_eod
2010-10-12,269.28,tase_eod
2010-10-13,268.57,tase_eod
2010-10-14,268.78,tase_eod
2010-10-17,268.95,tase_eod
2010-10-18,269.86,tase_eod
2010-10-19,270.45,tase_eod
2010-10-20,270.74,tase_eod
2010-10-21,271.15,tase_eod
2010-10-24,270.67,tase_eod
2010-10-25,270.82,tase_eod
2010-10-26,270.5,tase_eod
2010-10-27,270.22,tase_eod
2010-10-28,270.88,tase_eod
2010-10-31,272.05,tase_eod
2010-11-01,272.47,tase_eod
2010-11-02,272.84,tase_eod
2010-11-03,272.49,tase_eod
2010-11-04,272.48,tase_eod
2010-11-07,272.12,tase_eod
2010-11-08,270.78,tase_eod
2010-11-09,270.72,tase_eod
2010-11-10,269.38,tase_eod
2010-11-11,269.01,tase_eod
2010-11-14,267.46,tase_eod
2010-11-15,267.74,tase_eod
2010-11-16,268.64,tase_eod
2010-11-17,269.49,tase_eod
2010-11-18,269.77,tase_eod
2010-11-21,270.18,tase_eod
2010-11-22,269.85,tase_eod
2010-11-23,270.73,tase_eod
2010-11-24,270.85,tase_eod
2010-11-25,270.66,tase_eod
2010-11-28,270.08,tase_eod
2010-11-29,270.06,tase_eod
2010-11-30,269.31,tase_eod
2010-12-01,268.32,tase_eod
2010-12-02,268.15,tase_eod
2010-12-05,268.79,tase_eod
2010-12-06,269.22,tase_eod
2010-12-07,268.93,tase_eod
2010-12-08,268.28,tase_eod
2010-12-09,268.98,tase_eod
2010-12-12,268.31,tase_eod
2010-12-13,268.21,tase_eod
2010-12-14,268.33,tase_eod
2010-12-15,267.75,tase_eod
2010-12-16,267.47,tase_eod
2010-12-19,267.78,tase_eod
2010-12-20,267.75,tase_eod
2010-12-21,267.52,tase_eod
2010-12-22,266.78,tase_eod
2010-12-23,266.21,tase_eod
2010-12-26,264.92,tase_eod
2010-12-27,265.39,tase_eod
2010-12-28,265.57,tase_eod
2010-12-29,266.11,tase_eod
2010-12-30,267.1,tase_eod
2011-01-02,268.13,tase_eod
2011-01-03,268.26,tase_eod
2011-01-04,268.26,tase_eod
2011-01-05,268.06,tase_eod
2011-01-06,268.56,tase_eod
2011-01-09,269.01,tase_eod
2011-01-10,269.41,tase_eod
2011-01-11,269.9,tase_eod
2011-01-12,270.09,tase_eod
2011-01-13,270.14,tase_eod
2011-01-16,270.99,tase_eod
2011-01-17,271.07,tase_eod
2011-01-18,271.43,tase_eod
2011-01-19,271.26,tase_eod
2011-01-20,271.09,tase_eod
