date,value,source
2026-07-06,537.3,investing
2026-07-07,536.6,investing
2026-07-08,535.8,investing
2026-07-09,535.8,investing
2026-07-10,536.4,investing
2026-07-13,535.1,investing
2026-07-14,535.1,investing
2026-07-15,535.6,investing
2026-07-16,534.4,investing
2026-07-17,534.2,investing
2026-07-20,532.8,investing
2026-07-21,532.6,investing
2026-07-22,531.9,investing
2026-07-24,531.1,investing
2026-07-27,531.8,investing
2026-07-28,532.5,investing
2026-07-29,532.6,investing
2026-07-30,532.9,investing
2026-07-31,533.3,investing
2026-08-03,533.3,investing
2026-08-04,534.3,investing
2026-08-05,535.4,investing
2026-08-06,535.45,tase
