date,value
2024-12-13,3.593
2024-12-16,3.608
2024-12-17,3.601
2024-12-18,3.585
2024-12-19,3.618
2024-12-20,3.65
2024-12-23,3.649
2024-12-24,3.663
2024-12-26,3.669
2024-12-27,3.678
2024-12-30,3.646
2024-12-31,3.647
2025-01-02,3.65
2025-01-03,3.656
2025-01-06,3.636
2025-01-07,3.627
2025-01-08,3.663
2025-01-09,3.658
2025-01-10,3.665
2025-01-13,3.672
2025-01-14,3.631
2025-01-15,3.621
2025-01-16,3.625
2025-01-17,3.602
2025-01-20,3.58
2025-01-21,3.583
2025-01-22,3.541
2025-01-23,3.557
2025-01-24,3.575
2025-01-27,3.615
2025-01-28,3.618
2025-01-29,3.6
2025-01-30,3.584
2025-01-31,3.577
2025-02-03,3.609
2025-02-04,3.578
2025-02-05,3.553
2025-02-06,3.56
2025-02-07,3.55
2025-02-10,3.562
2025-02-11,3.588
2025-02-12,3.592
2025-02-13,3.576
2025-02-14,3.563
2025-02-17,3.554
2025-02-18,3.557
2025-02-19,3.541
2025-02-20,3.542
2025-02-21,3.567
2025-02-24,3.566
2025-02-25,3.579
2025-02-26,3.576
2025-02-27,3.553
2025-02-28,3.59
2025-03-03,3.598
2025-03-04,3.611
2025-03-05,3.621
2025-03-06,3.615
2025-03-07,3.612
2025-03-10,3.628
2025-03-11,3.646
2025-03-12,3.637
2025-03-13,3.654
2025-03-17,3.663
2025-03-18,3.665
2025-03-19,3.671
2025-03-20,3.671
2025-03-21,3.697
2025-03-24,3.703
2025-03-25,3.666
2025-03-26,3.667
2025-03-27,3.675
2025-03-28,3.684
2025-03-31,3.718
2025-04-01,3.705
2025-04-02,3.699
2025-04-03,3.705
2025-04-04,3.72
2025-04-07,3.771
2025-04-08,3.766
2025-04-09,3.813
2025-04-10,3.757
2025-04-11,3.726
2025-04-14,3.685
2025-04-15,3.69
2025-04-16,3.688
2025-04-17,3.691
2025-04-21,3.692
2025-04-22,3.72
2025-04-23,3.668
2025-04-24,3.648
2025-04-25,3.612
2025-04-28,3.631
2025-04-29,3.623
2025-04-30,3.637
2025-05-02,3.614
2025-05-05,3.612
2025-05-06,3.618
2025-05-07,3.587
2025-05-08,3.579
2025-05-09,3.569
2025-05-12,3.545
2025-05-13,3.576
2025-05-14,3.559
2025-05-15,3.54
2025-05-16,3.549
2025-05-19,3.552
2025-05-20,3.525
2025-05-21,3.549
2025-05-22,3.57
2025-05-23,3.603
2025-05-27,3.537
2025-05-28,3.54
2025-05-29,3.512
2025-05-30,3.518
2025-06-03,3.526
2025-06-04,3.514
2025-06-05,3.491
2025-06-06,3.502
2025-06-09,3.484
2025-06-10,3.495
2025-06-11,3.503
2025-06-12,3.571
2025-06-13,3.6
2025-06-16,3.537
2025-06-17,3.503
2025-06-18,3.498
2025-06-19,3.484
2025-06-20,3.485
2025-06-23,3.479
2025-06-24,3.405
2025-06-25,3.409
2025-06-26,3.402
2025-06-27,3.392
2025-06-30,3.372
2025-07-01,3.369
2025-07-02,3.371
2025-07-03,3.361
2025-07-04,3.34
2025-07-07,3.337
2025-07-08,3.355
2025-07-09,3.328
2025-07-10,3.306
2025-07-11,3.334
2025-07-14,3.365
2025-07-15,3.345
2025-07-16,3.355
2025-07-17,3.359
2025-07-18,3.355
2025-07-21,3.355
2025-07-22,3.354
2025-07-23,3.332
2025-07-24,3.341
2025-07-25,3.361
2025-07-28,3.356
2025-07-29,3.367
2025-07-30,3.366
2025-07-31,3.388
2025-08-01,3.414
2025-08-04,3.404
2025-08-05,3.447
2025-08-06,3.448
2025-08-07,3.417
2025-08-08,3.435
2025-08-11,3.418
2025-08-12,3.429
2025-08-13,3.389
2025-08-14,3.385
2025-08-15,3.38
2025-08-18,3.39
2025-08-19,3.38
2025-08-20,3.4
2025-08-21,3.419
2025-08-22,3.406
2025-08-25,3.378
2025-08-26,3.369
2025-08-27,3.346
2025-08-28,3.325
2025-08-29,3.332
2025-09-01,3.354
2025-09-02,3.386
2025-09-03,3.371
2025-09-04,3.364
2025-09-05,3.343
2025-09-08,3.324
2025-09-09,3.335
2025-09-10,3.336
2025-09-11,3.339
2025-09-12,3.327
2025-09-15,3.341
2025-09-16,3.343
2025-09-17,3.34
2025-09-18,3.343
2025-09-19,3.336
2025-09-25,3.344
2025-09-26,3.366
2025-09-29,3.323
2025-09-30,3.306
2025-10-03,3.315
2025-10-06,3.281
2025-10-08,3.279
2025-10-09,3.242
2025-10-10,3.254
2025-10-13,3.284
2025-10-15,3.291
2025-10-16,3.296
2025-10-17,3.324
2025-10-20,3.311
2025-10-21,3.289
2025-10-22,3.298
2025-10-23,3.309
2025-10-24,3.29
2025-10-27,3.259
2025-10-28,3.259
2025-10-29,3.25
2025-10-30,3.257
2025-10-31,3.243
2025-11-03,3.255
2025-11-04,3.268
2025-11-05,3.272
2025-11-06,3.253
2025-11-07,3.265
2025-11-10,3.23
2025-11-11,3.217
2025-11-12,3.2
2025-11-13,3.209
2025-11-14,3.235
2025-11-17,3.241
2025-11-18,3.27
2025-11-19,3.266
2025-11-20,3.259
2025-11-21,3.28
2025-11-24,3.282
2025-11-25,3.275
2025-11-26,3.279
2025-11-27,3.277
2025-11-28,3.263
2025-12-01,3.264
2025-12-02,3.257
2025-12-03,3.229
2025-12-04,3.237
2025-12-05,3.229
2025-12-08,3.21
2025-12-09,3.213
2025-12-10,3.228
2025-12-11,3.211
2025-12-12,3.202
2025-12-15,3.209
2025-12-16,3.222
2025-12-17,3.223
2025-12-18,3.218
2025-12-19,3.208
2025-12-22,3.206
2025-12-23,3.191
2025-12-24,3.186
2025-12-29,3.203
2025-12-30,3.182
2025-12-31,3.19
2026-01-02,3.181
2026-01-05,3.158
2026-01-06,3.164
2026-01-07,3.175
2026-01-08,3.174
2026-01-09,3.17
2026-01-12,3.15
2026-01-13,3.151
2026-01-14,3.151
2026-01-15,3.156
2026-01-16,3.138
2026-01-19,3.16
2026-01-20,3.166
2026-01-21,3.174
2026-01-22,3.141
2026-01-23,3.135
2026-01-26,3.137
2026-01-27,3.104
2026-01-28,3.091
2026-01-29,3.086
2026-01-30,3.095
2026-02-02,3.101
2026-02-03,3.088
2026-02-04,3.086
2026-02-05,3.117
2026-02-06,3.125
2026-02-09,3.106
2026-02-10,3.084
2026-02-11,3.078
2026-02-12,3.068
2026-02-13,3.081
2026-02-16,3.088
2026-02-17,3.105
2026-02-18,3.098
2026-02-19,3.136
2026-02-20,3.123
2026-02-23,3.123
2026-02-24,3.114
2026-02-25,3.1
2026-02-26,3.11
2026-02-27,3.122
2026-03-02,3.073
2026-03-05,3.072
2026-03-06,3.077
2026-03-09,3.115
2026-03-10,3.091
2026-03-11,3.106
2026-03-12,3.114
2026-03-13,3.147
2026-03-16,3.119
2026-03-17,3.11
2026-03-18,3.096
2026-03-19,3.119
2026-03-20,3.109
