date,value
2025-02-20,17.653
2025-02-21,9.653
2025-02-24,7.653
2025-02-25,-2.347
2025-02-26,-7.347
2025-02-27,-3.347
2025-02-28,-8.347
2025-03-03,-25.7147
2025-03-04,-19.7147
2025-03-05,-13.7147
2025-03-06,-12.7147
2025-03-07,-9.7147
2025-03-10,-19.7147
2025-03-11,-13.7147
2025-03-12,-9.7147
2025-03-13,-14.7147
2025-03-14,-10.7147
2025-03-17,-10.7147
2025-03-18,-12.7147
2025-03-19,-16.7147
2025-03-20,-17.7147
2025-03-21,-16.7147
2025-03-24,-7.7147
2025-03-25,-10.7147
2025-03-26,-6.7147
2025-03-27,-3.7147
2025-03-28,-14.7147
2025-03-31,-18.7147
2025-04-01,-24.0406
2025-04-02,-21.0406
2025-04-03,-35.0406
2025-04-04,-40.0406
2025-04-07,-26.0406
2025-04-08,-15.0406
2025-04-09,-7.0406
2025-04-10,-1.0406
2025-04-11,6.9594
2025-04-14,-3.0406
2025-04-15,-6.0406
2025-04-16,-12.0406
2025-04-17,-7.0406
2025-04-21,0.9594
2025-04-22,-0.0406
2025-04-23,-1.0406
2025-04-24,-9.0406
2025-04-25,-12.0406
2025-04-28,-18.0406
2025-04-29,-22.0406
2025-04-30,-24.0406
2025-05-01,-21.1353
2025-05-02,-13.1353
2025-05-05,-10.1353
2025-05-06,-16.1353
2025-05-07,-20.1353
2025-05-08,-9.1353
2025-05-09,-9.1353
2025-05-12,-1.1353
2025-05-13,2.8647
2025-05-14,6.8647
2025-05-15,-1.1353
2025-05-16,-3.1353
2025-05-19,-0.1353
2025-05-20,1.8647
2025-05-21,11.8647
2025-05-22,7.8647
2025-05-23,4.8647
2025-05-27,-3.1353
2025-05-28,0.8647
2025-05-29,-3.1353
2025-05-30,-5.1353
2025-06-02,-0.6517
2025-06-03,-0.6517
2025-06-04,-9.6517
2025-06-05,-6.6517
2025-06-06,4.3483
2025-06-09,2.3483
2025-06-10,0.3483
2025-06-11,-5.6517
2025-06-12,-10.6517
2025-06-13,-5.6517
2025-06-16,-0.6517
2025-06-17,-7.6517
2025-06-18,-8.6517
2025-06-20,-8.6517
2025-06-23,-12.6517
2025-06-24,-16.6517
2025-06-25,-17.6517
2025-06-26,-20.6517
2025-06-27,-17.6517
2025-06-30,-22.6517
2025-07-01,4.0151
2025-07-02,8.0151
2025-07-03,13.0151
2025-07-07,18.0151
2025-07-08,20.0151
2025-07-09,12.0151
2025-07-10,13.0151
2025-07-11,21.0151
2025-07-14,21.0151
2025-07-15,28.0151
2025-07-16,24.0151
2025-07-17,25.0151
2025-07-18,22.0151
2025-07-21,16.0151
2025-07-22,13.0151
2025-07-23,18.0151
2025-07-24,21.0151
2025-07-25,18.0151
2025-07-28,20.0151
2025-07-29,12.0151
2025-07-30,16.0151
2025-07-31,15.0151
2025-08-01,1.1154
2025-08-04,0.1154
2025-08-05,0.1154
2025-08-06,0.1154
2025-08-07,1.1154
2025-08-08,5.1154
2025-08-11,5.1154
2025-08-12,7.1154
2025-08-13,2.1154
2025-08-14,7.1154
2025-08-15,11.1154
2025-08-18,12.1154
2025-08-19,8.1154
2025-08-20,7.1154
2025-08-21,11.1154
2025-08-22,4.1154
2025-08-25,6.1154
2025-08-26,4.1154
2025-08-27,2.1154
2025-08-28,0.1154
2025-08-29,1.1154
2025-09-02,8.9544
2025-09-03,2.9544
2025-09-04,-2.0456
2025-09-05,-9.0456
2025-09-08,-14.0456
2025-09-09,-11.0456
2025-09-10,-15.0456
2025-09-11,-18.0456
2025-09-12,-13.0456
2025-09-15,-14.0456
2025-09-16,-15.0456
2025-09-17,-13.0456
2025-09-18,-8.0456
2025-09-19,-5.0456
2025-09-22,-4.0456
2025-09-23,-7.0456
2025-09-24,-3.0456
2025-09-25,-1.0456
2025-09-26,0.9544
2025-09-29,-4.0456
2025-09-30,-3.0456
2025-10-01,14.9143
2025-10-02,12.9143
2025-10-03,15.9143
2025-10-06,20.9143
2025-10-07,16.9143
2025-10-08,15.9143
2025-10-09,16.9143
2025-10-10,7.9143
2025-10-14,5.9143
2025-10-15,7.9143
2025-10-16,1.9143
2025-10-17,4.9143
2025-10-20,2.9143
2025-10-21,0.9143
2025-10-22,-0.0857
2025-10-23,3.9143
2025-10-24,4.9143
2025-10-27,3.9143
2025-10-28,1.9143
2025-10-29,10.9143
2025-10-30,13.9143
2025-10-31,13.9143
2025-11-03,16.4417
2025-11-04,13.4417
2025-11-05,20.4417
2025-11-06,14.4417
2025-11-07,14.4417
2025-11-10,16.4417
2025-11-12,11.4417
2025-11-13,14.4417
2025-11-14,17.4417
2025-11-17,16.4417
2025-11-18,15.4417
2025-11-19,16.4417
2025-11-20,13.4417
2025-11-21,9.4417
2025-11-24,7.4417
2025-11-25,4.4417
2025-11-26,3.4417
2025-11-28,5.4417
2025-12-01,4.9841
2025-12-02,4.9841
2025-12-03,1.9841
2025-12-04,6.9841
2025-12-05,9.9841
2025-12-08,12.9841
2025-12-09,13.9841
2025-12-10,8.9841
2025-12-11,9.9841
2025-12-12,14.9841
2025-12-15,13.9841
2025-12-16,10.9841
2025-12-17,11.9841
2025-12-18,7.9841
2025-12-19,11.9841
2025-12-22,12.9841
2025-12-23,13.9841
2025-12-24,10.9841
2025-12-26,9.9841
2025-12-29,7.9841
2025-12-30,9.9841
2025-12-31,13.9841
2026-01-02,30.6311
2026-01-05,28.6311
2026-01-06,29.6311
2026-01-07,26.6311
2026-01-08,30.6311
2026-01-09,29.6311
2026-01-12,30.6311
2026-01-13,29.6311
2026-01-14,26.6311
2026-01-15,28.6311
2026-01-16,35.6311
2026-01-20,41.6311
2026-01-21,37.6311
2026-01-22,37.6311
2026-01-23,35.6311
2026-01-26,33.6311
2026-01-27,35.6311
2026-01-28,37.6311
2026-01-29,35.6311
2026-01-30,37.6311
2026-02-02,45.686
2026-02-03,44.686
2026-02-04,45.686
2026-02-05,37.686
2026-02-06,38.686
2026-02-09,38.686
2026-02-10,32.686
2026-02-11,34.686
2026-02-12,25.686
2026-02-13,20.686
2026-02-17,21.686
2026-02-18,25.686
2026-02-19,24.686
2026-02-20,24.686
2026-02-23,19.686
2026-02-24,20.686
2026-02-25,21.686
2026-02-26,18.686
2026-02-27,13.686
2026-03-02,5.1062
2026-03-03,6.1062
2026-03-04,9.1062
2026-03-05,13.1062
2026-03-06,15.1062
2026-03-09,12.1062
2026-03-10,15.1062
2026-03-11,21.1062
2026-03-12,27.1062
2026-03-13,28.1062
2026-03-16,23.1062
2026-03-17,20.1062
2026-03-18,26.1062
2026-03-19,25.1062
2026-03-20,39.1062
2026-03-23,34.1062
2026-03-24,39.1062
2026-03-25,33.1062
2026-03-26,42.1062
2026-03-27,44.1062
2026-03-30,35.1062
2026-03-31,30.1062
2026-04-01,30.3049
2026-04-02,28.3049
2026-04-03,32.3049
2026-04-06,31.3049
2026-04-07,30.3049
2026-04-08,26.3049
2026-04-09,26.3049
2026-04-10,28.3049
2026-04-13,27.3049
2026-04-14,23.3049
2026-04-15,26.3049
2026-04-16,29.3049
2026-04-17,23.3049
2026-04-20,23.3049
2026-04-21,27.3049
2026-04-22,27.3049
2026-04-23,31.3049
2026-04-24,28.3049
2026-04-27,32.3049
2026-04-28,33.3049
2026-04-29,39.3049
2026-04-30,37.3049
2026-05-01,44.0297
2026-05-04,50.0297
2026-05-05,48.0297
2026-05-06,41.0297
2026-05-07,46.0297
2026-05-08,43.0297
2026-05-11,47.0297
2026-05-12,51.0297
2026-05-13,51.0297
2026-05-14,52.0297
2026-05-15,64.0297
2026-05-18,66.0297
2026-05-19,72.0297
2026-05-20,62.0297
2026-05-21,62.0297
2026-05-22,61.0297
2026-05-26,55.0297
2026-05-27,53.0297
2026-05-28,50.0297
2026-05-29,50.0297
2026-06-01,70.4005
2026-06-02,69.4005
2026-06-03,72.4005
2026-06-04,70.4005
2026-06-05,78.4005
