date,value
2025-02-20,3.6968
2025-02-21,2.6968
2025-02-24,-6.7823
2025-02-25,-8.6835
2025-02-26,-3.0458
2025-02-27,2.7235
2025-02-28,2.7235
2025-03-03,-3.6969
2025-03-04,0.3738
2025-03-05,6.6028
2025-03-06,4.652
2025-03-07,4.652
2025-03-10,1.0313
2025-03-11,1.3571
2025-03-12,6.2967
2025-03-13,3.2892
2025-03-14,2.2892
2025-03-17,1.8625
2025-03-18,6.1092
2025-03-19,4.413
2025-03-20,3.6968
2025-03-21,3.6968
2025-03-24,0.627
2025-03-25,-5.6835
2025-03-26,-1.0458
2025-03-27,-1.9203
2025-03-28,-1.9203
2025-03-31,-0.7002
2025-04-01,-1.6262
2025-04-02,-2.5827
2025-04-03,0.6532
2025-04-04,-2.3468
2025-04-07,-21.0837
2025-04-08,-19.9735
2025-04-09,-2.9683
2025-04-10,-0.0429
2025-04-11,-0.0429
2025-04-14,0.8625
2025-04-15,0.1206
2025-04-16,-0.6414
2025-04-17,9.8152
2025-04-21,1.627
2025-04-22,-0.197
2025-04-23,-1.0458
2025-04-24,2.7235
2025-04-25,2.7235
2025-04-28,-0.7002
2025-04-29,3.4611
2025-04-30,3.4611
2025-05-01,3.4611
2025-05-02,5.4611
2025-05-05,5.4611
2025-05-06,5.4611
2025-05-08,4.5729
2025-05-09,4.5729
2025-05-12,10.0313
2025-05-13,8.3571
2025-05-14,7.6656
2025-05-15,8.6444
2025-05-16,7.6444
2025-05-19,11.7873
2025-05-20,0.13
2025-05-21,7.413
2025-05-22,7.6968
2025-05-23,6.6968
2025-05-27,1.803
2025-05-28,6.516
2025-05-29,6.7235
2025-05-30,6.7235
2025-06-02,14.7235
2025-06-03,3.2827
2025-06-04,3.2279
2025-06-05,9.3069
2025-06-06,8.3069
2025-06-09,7.5061
2025-06-10,12.3571
2025-06-11,7.0317
2025-06-12,7.2669
2025-06-13,6.2669
2025-06-16,5.9358
2025-06-17,4.13
2025-06-18,3.3022
2025-06-20,4.5756
2025-06-23,5.627
2025-06-24,4.803
2025-06-25,3.9542
2025-06-26,4.0797
2025-06-27,4.0797
2025-06-30,8.2998
2025-07-01,6.3738
2025-07-02,6.4173
2025-07-03,12.7159
2025-07-07,11.3321
2025-07-08,15.1602
2025-07-09,14.5536
2025-07-10,13.9328
2025-07-11,12.9328
2025-07-14,11.2892
2025-07-15,15.4482
2025-07-16,13.7873
2025-07-17,13.1092
2025-07-18,12.1092
2025-07-21,15.4629
2025-07-22,9.4271
2025-07-23,8.627
2025-07-24,14.2857
2025-07-25,14.2857
2025-07-28,3.2496
2025-07-29,8.1963
2025-07-30,8.2998
2025-07-31,7.3738
2025-08-01,1.3738
2025-08-04,1.3738
2025-08-05,0.3738
2025-08-06,-1.6262
2025-08-07,2.5729
2025-08-08,2.5729
2025-08-11,6.5536
2025-08-12,4.9328
2025-08-13,0.2967
2025-08-14,5.3298
2025-08-15,5.3298
2025-08-18,5.7873
2025-08-19,2.1092
2025-08-20,6.4637
2025-08-21,7.8152
2025-08-22,2.8152
2025-08-25,-3.373
2025-08-26,0.2857
2025-08-27,-8.0458
2025-08-28,2.3645
2025-08-29,-0.6355
2025-09-02,-7.5389
2025-09-03,-16.5827
2025-09-04,-11.1268
2025-09-05,-20.1268
2025-09-08,-17.4464
2025-09-09,-13.4924
2025-09-10,-10.4479
2025-09-11,-11.9877
2025-09-12,-11.9877
2025-09-15,-21.2127
2025-09-16,-28.8794
2025-09-17,-26.587
2025-09-18,-26.3032
2025-09-19,-26.3032
2025-09-22,-31.5729
2025-09-23,-31.5729
2025-09-24,-29.5729
2025-09-25,-19.6355
2025-09-26,-21.6355
2025-09-29,-28.7002
2025-09-30,-21.0022
2025-10-01,-22.0022
2025-10-02,-21.0022
2025-10-03,-20.0022
2025-10-06,-21.0022
2025-10-07,-22.0022
2025-10-09,-17.7888
2025-10-10,-18.7888
2025-10-14,-20.3719
2025-10-15,-21.0742
2025-10-16,-22.6702
2025-10-17,-24.6702
2025-10-20,-30.2127
2025-10-21,-26.905
2025-10-22,-27.5363
2025-10-23,-24.0693
2025-10-24,-26.0693
2025-10-27,-32.5651
2025-10-28,-33.2355
2025-10-29,-24.3698
2025-10-30,-31.6355
2025-10-31,-34.6355
2025-11-03,-22.7201
2025-11-04,-19.3767
2025-11-05,-20.0395
2025-11-06,-24.589
2025-11-07,-25.589
2025-11-10,-23.4074
2025-11-12,-15.203
2025-11-13,-14.6302
2025-11-14,-15.6302
2025-11-17,-20.3717
2025-11-18,-23.922
2025-11-19,-23.4885
2025-11-20,-19.9576
2025-11-21,-23.9576
2025-11-24,-25.1663
2025-11-25,-26.7595
2025-11-26,-19.8185
2025-11-28,-24.3669
2025-12-01,-21.7796
2025-12-02,-26.2316
2025-12-03,-31.698
2025-12-04,-34.9529
2025-12-05,-34.9529
2025-12-08,-36.379
2025-12-09,-36.7862
2025-12-10,-41.203
2025-12-11,-39.9553
2025-12-12,-42.9553
2025-12-15,-37.6318
2025-12-16,-38.9922
2025-12-17,-39.3623
2025-12-18,-36.6397
2025-12-19,-36.6397
2025-12-22,-35.9891
2025-12-23,-35.3515
2025-12-24,-37.27
2025-12-26,-37.1116
2025-12-29,-40.7563
2025-12-30,-38.2316
2025-12-31,-36.698
2026-01-02,-33.4094
2026-01-05,-22.8504
2026-01-06,-19.4387
2026-01-07,-15.924
2026-01-08,-15.9602
2026-01-09,-20.8125
2026-01-12,-16.0175
2026-01-13,-11.1652
2026-01-14,-16.235
2026-01-15,-20.443
2026-01-16,-21.8197
2026-01-20,-13.975
2026-01-21,-8.582
2026-01-22,-7.644
2026-01-23,-8.7746
2026-01-26,-17.8753
2026-01-27,-18.0441
2026-01-28,-11.0684
2026-01-29,-12.1494
2026-01-30,-18.7841
2026-02-02,-16.7841
2026-02-03,-16.7841
2026-02-04,-16.7841
2026-02-05,-6.4379
2026-02-06,-5.3997
2026-02-09,-8.8553
2026-02-10,-4.3425
2026-02-11,1.2761
2026-02-12,1.3505
2026-02-13,-0.4959
2026-02-17,5.6968
2026-02-18,6.8446
2026-02-19,5.9972
2026-02-20,6.3119
2026-02-23,-4.0936
2026-02-24,-4.0745
2026-02-25,1.4682
2026-02-26,6.1683
2026-02-27,17.0702
2026-03-02,5.1053
2026-03-03,4.1053
2026-03-04,-1.921
2026-03-05,-4.1544
2026-03-06,-5.173
2026-03-09,-6.8553
2026-03-10,-6.8887
2026-03-11,-6.924
2026-03-12,-5.9602
2026-03-13,-10.8125
2026-03-16,-6.1214
2026-03-17,-11.1244
2026-03-18,-10.235
2026-03-19,-10.3485
2026-03-20,-14.8197
2026-03-23,-15.2212
2026-03-24,-20.8898
2026-03-25,-16.6465
2026-03-26,-16.8706
2026-03-27,-17.3389
2026-03-30,-31.7796
2026-03-31,-15.0441
2026-04-01,-15.0441
2026-04-02,-15.0441
2026-04-03,-14.7841
2026-04-06,-13.7841
2026-04-07,-14.7841
2026-04-08,-16.7841
2026-04-09,-9.7313
2026-04-10,-8.7909
2026-04-13,-11.3509
2026-04-14,-6.8887
2026-04-15,-11.5283
2026-04-16,-12.6199
2026-04-17,-12.8125
2026-04-20,-7.1214
2026-04-21,-9.1214
2026-04-22,-9.1214
2026-04-23,-14.3485
2026-04-24,-14.5869
2026-04-27,-10.4657
2026-04-28,-10.5229
2026-04-29,-10.582
2026-04-30,-10.644
2026-05-01,-16.5549
2026-05-04,-8.9158
2026-05-05,-16.0441
2026-05-06,-10.0684
2026-05-07,-14.7166
2026-05-08,-14.9871
2026-05-11,-12.3509
2026-05-12,-12.4387
2026-05-13,-13.5283
2026-05-14,-8.9602
2026-05-15,-13.8125
2026-05-18,-10.1214
2026-05-19,-6.208
2026-05-20,-8.189
2026-05-21,-5.189
2026-05-22,-5.189
2026-05-26,-5.0745
2026-05-27,-5.0555
2026-05-28,7.1683
2026-05-29,7.5441
2026-06-01,16.9399
2026-06-02,28.2175
2026-06-03,23.4935
2026-06-04,26.9425
2026-06-05,24.266
2026-06-08,33.5511
2026-06-09,28.3559
2026-06-10,24.0567
2026-06-11,27.9424
2026-06-12,28.5556
2026-06-15,35.0764
2026-06-16,35.4722
2026-06-17,39.8785
2026-06-18,35.2245
2026-06-22,49.4211
2026-06-23,66.2248
2026-06-24,56.0358
2026-06-25,44.5358
2026-06-26,50.3317
2026-06-29,43.7593
2026-06-30,50.2719
2026-07-01,42.7492
2026-07-02,46.4878
2026-07-06,59.2078
2026-07-07,58.2078
2026-07-08,59.2078
2026-07-09,56.646
2026-07-10,59.7541
2026-07-13,64.9129
2026-07-14,51.47
2026-07-15,55.5512
2026-07-16,57.1243
2026-07-17,54.5652
2026-07-20,56.6905
2026-07-21,58.2742
2026-07-22,61.4863
2026-07-23,67.4863
2026-07-24,69.7633
2026-07-27,65.7664
2026-07-28,65.8108
2026-07-29,59.5308
2026-07-30,59.2728
2026-07-31,61.8206
2026-08-03,53.6911
2026-08-04,64.3101
2026-08-05,58.9877
2026-08-06,60.0209
2026-08-07,58.2716
2026-08-10,55.975
2026-08-11,56.47
2026-08-12,59.5512
2026-08-13,55.4928
2026-08-14,55.5652
2026-08-17,52.822
2026-08-18,52.3427
2026-08-19,52.8777
2026-08-20,54.4252
2026-08-21,61.7633
2026-08-24,56.7664
2026-08-25,61.8108
2026-08-26,56.0358
2026-08-27,55.6976
2026-08-28,57.3317
2026-08-31,59.6192
2026-09-01,73.3221
2026-09-02,80.3135
2026-09-03,71.6516
2026-09-04,77.4398
2026-09-08,79.545
2026-09-09,81.265
