date,value
1996-02-01,1190.52001953125
1996-05-01,1080.5899658203125
1996-08-01,1221.510009765625
1996-11-01,1379.8499755859375
1997-02-01,1260.760009765625
1997-05-01,1593.81005859375
1997-08-01,1593.6099853515625
1997-11-01,1619.3599853515625
1998-02-01,1868.4100341796875
1998-05-01,1872.3900146484375
1998-08-01,1771.3900146484375
1998-11-01,2505.889892578125
1999-02-01,2542.860107421875
1999-05-01,2638.489990234375
1999-08-01,2966.429931640625
1999-11-01,3940.35009765625
2000-02-01,3860.659912109375
2000-05-01,3766.989990234375
2000-08-01,3369.6298828125
2000-11-01,2772.72998046875
2001-02-01,2116.239990234375
2001-05-01,2027.1300048828125
2001-08-01,1690.199951171875
2001-11-01,1934.030029296875
2002-02-01,1688.22998046875
2002-05-01,1328.260009765625
2002-08-01,1329.75
2002-11-01,1320.9100341796875
2003-02-01,1464.31005859375
2003-05-01,1735.02001953125
2003-08-01,1932.2099609375
2003-11-01,2066.14990234375
2004-02-01,1920.1500244140625
2004-05-01,1887.3599853515625
2004-08-01,1974.989990234375
2004-11-01,2062.409912109375
2005-02-01,1921.6500244140625
2005-05-01,2184.830078125
2005-08-01,2120.300048828125
2005-11-01,2305.820068359375
2006-02-01,2322.570068359375
2006-05-01,2091.469970703125
2006-08-01,2366.7099609375
2006-11-01,2463.929931640625
2007-02-01,2525.090087890625
2007-05-01,2546.27001953125
2007-08-01,2859.1201171875
2007-11-01,2389.860107421875
2008-02-01,2412.800048828125
2008-05-01,2325.550048828125
2008-08-01,1720.949951171875
2008-11-01,1476.4200439453125
2009-02-01,1717.300048828125
2009-05-01,1978.5
2009-08-01,2045.1099853515625
2009-11-01,2147.35009765625
2010-02-01,2461.18994140625
2010-05-01,2254.699951171875
2010-08-01,2507.409912109375
2010-11-01,2700.080078125
2011-02-01,2873.5400390625
2011-05-01,2756.3798828125
2011-08-01,2684.409912109375
2011-11-01,2813.840087890625
2012-02-01,3046.360107421875
2012-05-01,2939.52001953125
2012-08-01,2977.22998046875
2012-11-01,3142.1298828125
2013-02-01,3328.7900390625
2013-05-01,3626.3701171875
2013-08-01,3919.7099609375
2013-11-01,4103.8798828125
2014-02-01,4114.56005859375
2014-05-01,4369.77001953125
2014-08-01,4630.740234375
2014-11-01,4635.240234375
2015-02-01,4941.419921875
2015-05-01,5128.27978515625
2015-08-01,5053.75
2015-11-01,4613.9501953125
2016-02-01,4775.35986328125
2016-05-01,5162.1298828125
2016-08-01,5189.14013671875
2016-11-01,5614.7900390625
2017-02-01,6047.60986328125
2017-05-01,6348.1201171875
2017-08-01,6727.669921875
2017-11-01,7411.47998046875
2018-02-01,7066.27001953125
2018-05-01,7671.7900390625
2018-08-01,7305.89990234375
2018-11-01,7281.740234375
2019-02-01,8095.39013671875
2019-05-01,8175.419921875
2019-08-01,8292.3603515625
2019-11-01,9150.9404296875
2020-02-01,8889.5498046875
2020-05-01,10745.26953125
2020-08-01,10911.58984375
2020-11-01,13070.6904296875
2021-02-01,13962.6796875
2021-05-01,14672.6796875
2021-08-01,15498.3896484375
2021-11-01,14239.8798828125
2022-02-01,12334.6396484375
2022-05-01,12390.6904296875
2022-08-01,10988.150390625
2022-11-01,11584.5498046875
2023-02-01,12226.580078125
2023-05-01,14346.01953125
2023-08-01,12851.240234375
2023-11-01,15164.009765625
2024-02-01,15657.8203125
2024-05-01,17599.400390625
2024-08-01,18095.150390625
2024-11-01,19627.439453125
2025-02-01,17446.33984375
2025-05-01,21122.44921875
2025-08-01,23724.9609375
2025-11-01,23461.8203125
2026-02-01,24892.310546875
2026-05-01,25373.849609375
2026-08-03,25913.896484375
